Protein	Protein ID	Entry Name	Gene	Description	Protein Length	Organism	Protein Existence	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Indistinguishable Proteins	C_41079 Intensity	C_41079 MaxLFQ Intensity	C_41079 Spectral Count	C_41079 Unique Spectral Count	C_41079 Total Spectral Count
A0A068TZ70;A0A068TZB4	A0A068TZ70;A0A068TZB4	A0A068TZ70_COFCA;A0A068TZB4_COFCA	GSCOC_T00036701001;GSCOC_T00036702001	Enoyl reductase (ER) domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		56360.6	56360.6	1	1	1
A0A068TZE0	A0A068TZE0	A0A068TZE0_COFCA	GSCOC_T00034889001	Actinidain	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		139166.0	139166.0	1	1	1
A0A068TZX4	A0A068TZX4	A0A068TZX4_COFCA	GSCOC_T00036950001	HMG box domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		1331000.0	1331000.0	1	1	1
A0A068U025	A0A068U025	A0A068U025_COFCA	GSCOC_T00037056001	26S proteasome non-ATPase regulatory subunit 4 homolog	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		130168.0	130168.0	1	1	1
A0A068U061	A0A068U061	A0A068U061_COFCA	GSCOC_T00037102001	H15 domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		658659.0	658659.0	1	1	1
A0A068U0H0	A0A068U0H0	A0A068U0H0_COFCA	GSCOC_T00034618001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068U0N7	A0A068U0N7	A0A068U0N7_COFCA	GSCOC_T00037068001	Ferredoxin--NADP reductase, chloroplastic	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		1291610.0	1291610.0	1	1	1
A0A068U175	A0A068U175	A0A068U175_COFCA	GSCOC_T00037115001	Fructose-bisphosphate aldolase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		548466.0	548466.0	1	1	1
A0A068U175;A0A068TL79	A0A068U175;A0A068TL79	A0A068TL79_COFCA;A0A068U175_COFCA	GSCOC_T00014197001;GSCOC_T00037115001	Fructose-bisphosphate aldolase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		1224010.0	1224010.0	1	1	1
A0A068U175;A0A068TWW6;A0A068TL79	A0A068U175;A0A068TWW6;A0A068TL79	A0A068TL79_COFCA;A0A068TWW6_COFCA;A0A068U175_COFCA	GSCOC_T00014197001;GSCOC_T00032750001;GSCOC_T00037115001	Fructose-bisphosphate aldolase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		787540.0	787540.0	1	1	1
