Protein.Group	Protein.Names	Genes	First.Protein.Description	20260211_008_C41079_S1100213_Beads2_Group_2.mzML	20260211_007_C41079_S1100211_NosH3_Group_1.mzML	20260211_005_C41079_S1100214_Beads3_Group_2.mzML	20260211_004_C41079_S1100210_NosH2_Group_1.mzML	20260211_003_C41079_S1100209_NosH1_Group_1.mzML	20260211_002_C41079_S1100212_Beads1_Group_2.mzML
Cont_P02533;Cont_Q04695	K1C14_HUMAN;K1C17_HUMAN	KRT14;KRT17	Keratin, type I cytoskeletal 14	5.19684e+07	9.28663e+06	1.35419e+08	4.30251e+07	1.35501e+07	6.34483e+07
Cont_P02534;Cont_O76013	K1M1_SHEEP;KRT36_HUMAN	KRT36	Keratin, type I cuticular Ha6					76246.2	
Cont_P02538	K2C6A_HUMAN	KRT6A	Keratin, type II cytoskeletal 6A	1.08706e+07	442582	2.67929e+07	9.70036e+06	2.03029e+06	3.0093e+07
Cont_P02538;Cont_P04259;Cont_P48668	K2C6A_HUMAN;K2C6B_HUMAN;K2C6C_HUMAN	KRT6A;KRT6B;KRT6C	Keratin, type II cytoskeletal 6A	1.37304e+07	8.48072e+06	8.37954e+07	3.12954e+07	6.31965e+06	3.07431e+07
Cont_P02538;Cont_P04259;Cont_P48668;Cont_P12035;Cont_P50446	K2C3_HUMAN;K2C6A_HUMAN;K2C6A_MOUSE;K2C6B_HUMAN;K2C6C_HUMAN	KRT3;KRT6A;KRT6B;KRT6C;Krt6a	Keratin, type II cytoskeletal 6A	1.52101e+07	43226.8	3.25509e+07	1.54437e+07	179625	2.60736e+07
Cont_P02538;Cont_P04259;Cont_P48668;Cont_P50446	K2C6A_HUMAN;K2C6A_MOUSE;K2C6B_HUMAN;K2C6C_HUMAN	KRT6A;KRT6B;KRT6C;Krt6a	Keratin, type II cytoskeletal 6A	1.89021e+07		5.40995e+07	1.01495e+06		7.97994e+07
Cont_P02538;Cont_P04259;Cont_P50446	K2C6A_HUMAN;K2C6A_MOUSE;K2C6B_HUMAN	KRT6A;KRT6B;Krt6a	Keratin, type II cytoskeletal 6A	109023		442311	575338	43762	211828
Cont_P02538;Cont_P48668	K2C6A_HUMAN;K2C6C_HUMAN	KRT6A;KRT6C	Keratin, type II cytoskeletal 6A	1.01585e+07	2.02105e+06	2.78127e+07	1.64987e+07	3.71799e+06	1.71771e+07
Cont_P02663	CASA2_BOVIN	CSN1S2	Alpha-S2-casein	109739	55298.4	103870	134759	95928.8	97799.1
Cont_P02754	LACB_BOVIN	LGB	Beta-lactoglobulin	167898		167119	429734	147108	146369
Cont_P02769	ALBU_BOVIN	ALB	Albumin	4.19233e+06	3.96854e+06	7.90222e+06	3.75377e+06	3.73327e+06	6.78499e+06
Cont_P04258	CO3A1_BOVIN	COL3A1	Collagen alpha-1(III) chain	239918	257878	180514	298719	235627	195756
Cont_P04259	K2C6B_HUMAN	KRT6B	Keratin, type II cytoskeletal 6B	4.96533e+06	314306	9.88018e+06	5.71765e+06	1.07539e+06	5.95028e+06
Cont_P04259;Cont_P48668	K2C6B_HUMAN;K2C6C_HUMAN	KRT6B;KRT6C	Keratin, type II cytoskeletal 6B	1.47995e+07		3.29708e+07	3.33948e+06	659520	4.88731e+07
Cont_P04264	K2C1_HUMAN	KRT1	Keratin, type II cytoskeletal 1	8.0397e+08	2.15961e+08	1.73068e+09	9.70643e+08	3.8278e+08	5.23259e+08
Cont_P04264;Cont_P04259	K2C1_HUMAN;K2C6B_HUMAN	KRT1;KRT6B	Keratin, type II cytoskeletal 6B	2.22167e+08	1.54051e+08	3.33769e+08	2.96139e+08	1.53447e+08	1.99666e+08
Cont_P04264;Cont_Q8BGZ7;Cont_Q922U2;Cont_P50446	K2C1_HUMAN;K2C5_MOUSE;K2C6A_MOUSE;K2C75_MOUSE	KRT1;Krt5;Krt6a;Krt75	Keratin, type II cytoskeletal 1	6.69024e+07	1.24121e+06	1.45126e+08	5.81769e+06	4.87381e+06	1.26618e+08
Cont_P04264;Cont_Q922U2	K2C1_HUMAN;K2C5_MOUSE	KRT1;Krt5	Keratin, type II cytoskeletal 1	3.3771e+08	6.81599e+07	6.93316e+08	4.03355e+08	1.35394e+08	5.14705e+08
Cont_P05783	K1C18_HUMAN	KRT18	Keratin, type I cytoskeletal 18	792662	714916	497890	688379	699623	539601
Cont_P05783;Cont_P05784	K1C18_HUMAN;K1C18_MOUSE	KRT18;Krt18	Keratin, type I cytoskeletal 18						260047
Cont_P05783;Cont_P08727;Cont_P05784	K1C18_HUMAN;K1C18_MOUSE;K1C19_HUMAN	KRT18;KRT19;Krt18	Keratin, type I cytoskeletal 18	1.7052e+06	1.19064e+06	1.24604e+06	1.07206e+06	1.08548e+06	1.4891e+06
Cont_P05787;Cont_P02538;Cont_P04259;Cont_Q8BGZ7;Cont_P48668;Cont_P50446	K2C6A_HUMAN;K2C6A_MOUSE;K2C6B_HUMAN;K2C6C_HUMAN;K2C75_MOUSE;K2C8_HUMAN	KRT6A;KRT6B;KRT6C;KRT8;Krt6a;Krt75	Keratin, type II cytoskeletal 6A	9.44146e+06	888190	2.82917e+07	1.56234e+07	3.57376e+06	9.67748e+06
Cont_P08727	K1C19_HUMAN	KRT19	Keratin, type I cytoskeletal 19			7.08202e+06			
Cont_P08779	K1C16_HUMAN	KRT16	Keratin, type I cytoskeletal 16	3.41349e+07	2.85293e+06	6.59517e+07	4.85996e+07	7.31598e+06	5.52813e+07
Cont_P08779;Cont_P02533	K1C14_HUMAN;K1C16_HUMAN	KRT14;KRT16	Keratin, type I cytoskeletal 14	6.75484e+06	1.26607e+06	2.80486e+07	1.10367e+07	1.96923e+06	1.40004e+07
Cont_P08779;Cont_P02533;Cont_Q04695;Cont_P08727;Cont_P19012	K1C14_HUMAN;K1C15_HUMAN;K1C16_HUMAN;K1C17_HUMAN;K1C19_HUMAN	KRT14;KRT15;KRT16;KRT17;KRT19	Keratin, type I cytoskeletal 14	5.14277e+07		8.96954e+07	17028.3		7.01425e+07
Cont_P08779;Cont_P02533;Cont_Q04695;Cont_Q9Z2K1	K1C14_HUMAN;K1C16_HUMAN;K1C16_MOUSE;K1C17_HUMAN	KRT14;KRT16;KRT17;Krt16	Keratin, type I cytoskeletal 14	3.18916e+07	4.22392e+06	8.80182e+07	7.6954e+06	1.47091e+06	1.36797e+08
Cont_P08779;Cont_P02533;Cont_Q9Z2K1	K1C14_HUMAN;K1C16_HUMAN;K1C16_MOUSE	KRT14;KRT16;Krt16	Keratin, type I cytoskeletal 14	3.77261e+07	3.53792e+06	8.13685e+07	6.77448e+07	1.09261e+07	2.46805e+07
Cont_P08779;Cont_P02533;Cont_Q9Z2K1;Cont_O77727	K1C14_HUMAN;K1C15_SHEEP;K1C16_HUMAN;K1C16_MOUSE	KRT14;KRT15;KRT16;Krt16	Keratin, type I cytoskeletal 15	1.85882e+07	2.01892e+06	3.50203e+07	2.28788e+07	4.99464e+06	3.7538e+07
Cont_P08779;Cont_P08727	K1C16_HUMAN;K1C19_HUMAN	KRT16;KRT19	Keratin, type I cytoskeletal 19	4.25789e+06	427340	1.16726e+07	8.9009e+06	634185	1.33242e+06
Cont_P08779;Cont_P13646;Cont_P02533;Cont_P19012;Cont_O77727	K1C13_HUMAN;K1C14_HUMAN;K1C15_HUMAN;K1C15_SHEEP;K1C16_HUMAN	KRT13;KRT14;KRT15;KRT16	Keratin, type I cytoskeletal 15	4.22586e+07	2.23482e+07	6.73426e+07	2.66862e+07	1.43056e+07	2.92483e+07
Cont_P08779;Cont_P13646;Cont_P02533;Cont_Q04695;Cont_P08727;Cont_P19012;Cont_Q9Z2K1	K1C13_HUMAN;K1C14_HUMAN;K1C15_HUMAN;K1C16_HUMAN;K1C16_MOUSE;K1C17_HUMAN;K1C19_HUMAN	KRT13;KRT14;KRT15;KRT16;KRT17;KRT19;Krt16	Keratin, type I cytoskeletal 14	6.66838e+07	7.37493e+06	1.59417e+08	8.8228e+07	1.55169e+07	1.16304e+08
Cont_P08779;Cont_Q9Z2K1	K1C16_HUMAN;K1C16_MOUSE	KRT16;Krt16	Keratin, type I cytoskeletal 16	7.0448e+06	2.80603e+06	1.63182e+07	6.65257e+06	1.56291e+06	9.82922e+06
Cont_P12035;Cont_Q01546	K22O_HUMAN;K2C3_HUMAN	KRT3;KRT76	Keratin, type II cytoskeletal 3	1.32633e+06	1.35356e+06	541592			460331
Cont_P12763	FETUA_BOVIN	AHSG	Alpha-2-HS-glycoprotein	7923.78	13720.7	247397			31942.4
Cont_P13645	K1C10_HUMAN	KRT10	Keratin, type I cytoskeletal 10	7.08766e+07	3.61555e+07	2.25856e+08	7.44518e+07	2.32513e+07	9.76157e+07
Cont_P13645;Cont_O77727	K1C10_HUMAN;K1C15_SHEEP	KRT10;KRT15	Keratin, type I cytoskeletal 15	1.25179e+08	5.56575e+07	3.03383e+08	1.61978e+08	4.30949e+07	1.5259e+08
Cont_P13645;Cont_P02535	K1C10_HUMAN;K1C10_MOUSE	KRT10;Krt10	Keratin, type I cytoskeletal 10	1.81781e+08	6.91732e+07	4.22634e+08	2.51039e+08	7.18252e+07	1.83409e+08
Cont_P13645;Cont_P08779;Cont_P02533;Cont_Q9Z2K1;Cont_P02535	K1C10_HUMAN;K1C10_MOUSE;K1C14_HUMAN;K1C16_HUMAN;K1C16_MOUSE	KRT10;KRT14;KRT16;Krt10;Krt16	Keratin, type I cytoskeletal 14	1.20963e+08	2.78789e+07	2.30257e+08	1.64653e+08	4.9513e+07	9.31308e+06
Cont_P13645;Cont_P08779;Cont_P13646;Cont_P02533;Cont_Q04695;Cont_P05783;Cont_Q15323;Cont_Q14525;Cont_P08727;Cont_Q14532;Cont_P19012;Cont_P02534;Cont_Q9Z2K1;Cont_O77727;Cont_P02535;Cont_O76013;Cont_P05784	K1C10_HUMAN;K1C10_MOUSE;K1C13_HUMAN;K1C14_HUMAN;K1C15_HUMAN;K1C15_SHEEP;K1C16_HUMAN;K1C16_MOUSE;K1C17_HUMAN;K1C18_HUMAN;K1C18_MOUSE;K1C19_HUMAN;K1H1_HUMAN;K1H2_HUMAN;K1M1_SHEEP;KRT36_HUMAN;KT33B_HUMAN	KRT10;KRT13;KRT14;KRT15;KRT16;KRT17;KRT18;KRT19;KRT31;KRT32;KRT33B;KRT36;Krt10;Krt16;Krt18	Keratin, type I cuticular Ha6	2.54812e+08	6.3885e+07	4.82808e+08	2.60381e+08	7.76204e+07	3.13138e+08
Cont_P13645;Cont_P13646;Cont_O77727;Cont_P02535	K1C10_HUMAN;K1C10_MOUSE;K1C13_HUMAN;K1C15_SHEEP	KRT10;KRT13;KRT15;Krt10	Keratin, type I cytoskeletal 15	7.13626e+07	2.62636e+07	1.57731e+08	9.1879e+07	2.67199e+07	7.7193e+07
Cont_P13646;Cont_P02535	K1C10_MOUSE;K1C13_HUMAN	KRT13;Krt10	Keratin, type I cytoskeletal 10		5552.62	9.26443e+06	137268		
Cont_P13646;Cont_P19012	K1C13_HUMAN;K1C15_HUMAN	KRT13;KRT15	Keratin, type I cytoskeletal 13	86172.8		1.64236e+07	1.18343e+06	728697	
Cont_P13646;Cont_P19012;Cont_Q99456	K1C12_HUMAN;K1C13_HUMAN;K1C15_HUMAN	KRT12;KRT13;KRT15	Keratin, type I cytoskeletal 13			6.36579e+06			
Cont_P13647	K2C5_HUMAN	KRT5	Keratin, type II cytoskeletal 5	2.66713e+07	8.13603e+06	6.381e+07	3.95249e+07	1.07114e+07	3.41794e+07
Cont_P13647;Cont_O95678;Cont_P02538;Cont_P04259;Cont_P48668;Cont_Q922U2;Cont_Q6IME9;Cont_P50446	K2C5_HUMAN;K2C5_MOUSE;K2C6A_HUMAN;K2C6A_MOUSE;K2C6B_HUMAN;K2C6C_HUMAN;K2C72_MOUSE;K2C75_HUMAN	KRT5;KRT6A;KRT6B;KRT6C;KRT75;Krt5;Krt6a;Krt72	Keratin, type II cytoskeletal 75	7.1585e+06	1.1526e+06	1.52865e+07	2.22634e+06	648987	2.79491e+07
Cont_P13647;Cont_O95678;Cont_P05787;Cont_P02538;Cont_P04259;Cont_Q8BGZ7;Cont_P48668;Cont_Q922U2;Cont_P12035;Cont_P50446;Cont_Q01546	K22O_HUMAN;K2C3_HUMAN;K2C5_HUMAN;K2C5_MOUSE;K2C6A_HUMAN;K2C6A_MOUSE;K2C6B_HUMAN;K2C6C_HUMAN;K2C75_HUMAN;K2C75_MOUSE;K2C8_HUMAN	KRT3;KRT5;KRT6A;KRT6B;KRT6C;KRT75;KRT76;KRT8;Krt5;Krt6a;Krt75	Keratin, type II cytoskeletal 75	254530		452587	111352		457946
Cont_P13647;Cont_P02538;Cont_P04259;Cont_P48668	K2C5_HUMAN;K2C6A_HUMAN;K2C6B_HUMAN;K2C6C_HUMAN	KRT5;KRT6A;KRT6B;KRT6C	Keratin, type II cytoskeletal 6A	5.57536e+07	7.4018e+06	1.31842e+08	7.48022e+07	1.345e+07	8.02074e+07
Cont_P13647;Cont_P02538;Cont_P48668	K2C5_HUMAN;K2C6A_HUMAN;K2C6C_HUMAN	KRT5;KRT6A;KRT6C	Keratin, type II cytoskeletal 6A	4.51447e+07	4.43265e+06	6.68478e+07	3.43856e+07	9.7684e+06	5.17428e+07
Cont_P13647;Cont_Q922U2	K2C5_HUMAN;K2C5_MOUSE	KRT5;Krt5	Keratin, type II cytoskeletal 5	3.16367e+07	6.55927e+06	5.55315e+07	3.02005e+07	9.01631e+06	2.5465e+07
Cont_P15241;Cont_P78385;Cont_Q14533	K2M2_SHEEP;KRT81_HUMAN;KRT83_HUMAN	KRT81;KRT83	Keratin, type II microfibrillar, component 7C		39553.6	471851		304528	
Cont_P15252	REF_HEVBR		Rubber elongation factor protein	38459.5	49907.8	49208.9		47292.3	
Cont_P19013	K2C4_HUMAN	KRT4	Keratin, type II cytoskeletal 4		824344	1.24067e+07			
Cont_P19013;Cont_P12035	K2C3_HUMAN;K2C4_HUMAN	KRT3;KRT4	Keratin, type II cytoskeletal 3			9.88774e+06	139086		
Cont_P19013;Cont_Q86Y46	K2C4_HUMAN;K2C73_HUMAN	KRT4;KRT73	Keratin, type II cytoskeletal 4			1.05246e+06			
Cont_P19909	SPG2_STRSG	spg	Immunoglobulin G-binding protein G	231737	195522	195086	209074	195071	262530
Cont_P20930	FILA_HUMAN	FLG	Filaggrin	1.90408e+06	1.72919e+06	6.61542e+06	2.76169e+06	1.77421e+06	3.29836e+06
Cont_P22629	SAV_STRAV		Streptavidin	2.18037e+07	1.98148e+07	1.16491e+07	1.96301e+07	1.55353e+07	1.00484e+07
Cont_P25691;Cont_P15241;Cont_P78385;Cont_Q14533	K2M2_SHEEP;K2M3_SHEEP;KRT81_HUMAN;KRT83_HUMAN	KRT81;KRT83	Keratin, type II microfibrillar, component 7C	106428	66510.6	739495	41207.8	905942	105605
Cont_P35527	K1C9_HUMAN	KRT9	Keratin, type I cytoskeletal 9	5.52283e+08	1.36558e+08	8.56968e+08	5.15084e+08	2.49772e+08	5.64341e+08
Cont_P35527;Cont_P13645;Cont_P08779;Cont_P02533;Cont_Q04695;Cont_P08727;Cont_P19012;Cont_P05784;Cont_Q99456	K1C10_HUMAN;K1C12_HUMAN;K1C14_HUMAN;K1C15_HUMAN;K1C16_HUMAN;K1C17_HUMAN;K1C18_MOUSE;K1C19_HUMAN;K1C9_HUMAN	KRT10;KRT12;KRT14;KRT15;KRT16;KRT17;KRT19;KRT9;Krt18	Keratin, type I cytoskeletal 14	6.80879e+08	1.32531e+08	1.17266e+09	7.17973e+08	2.66128e+08	8.62643e+08
Cont_P35908	K22E_HUMAN	KRT2	Keratin, type II cytoskeletal 2 epidermal	4.12886e+07	2.59379e+07	9.02809e+07	4.44033e+07	1.91458e+07	3.33924e+07
Cont_P35908;Cont_P04264	K22E_HUMAN;K2C1_HUMAN	KRT1;KRT2	Keratin, type II cytoskeletal 1	6.61485e+08	1.38869e+08	1.39212e+09	8.67089e+08	3.36769e+08	8.64566e+08
Cont_P35908;Cont_P04264;Cont_P13647;Cont_Q7Z794;Cont_O95678;Cont_P05787;Cont_P02538;Cont_P04259;Cont_Q8BGZ7;Cont_P48668;Cont_Q922U2;Cont_P12035;Cont_Q6IFZ6;Cont_P50446;Cont_Q01546	K22E_HUMAN;K22O_HUMAN;K2C1B_HUMAN;K2C1B_MOUSE;K2C1_HUMAN;K2C3_HUMAN;K2C5_HUMAN;K2C5_MOUSE;K2C6A_HUMAN;K2C6A_MOUSE;K2C6B_HUMAN;K2C6C_HUMAN;K2C75_HUMAN;K2C75_MOUSE;K2C8_HUMAN	KRT1;KRT2;KRT3;KRT5;KRT6A;KRT6B;KRT6C;KRT75;KRT76;KRT77;KRT8;Krt5;Krt6a;Krt75;Krt77	Keratin, type II cytoskeletal 75	6.62073e+07	1.73343e+07	1.23745e+08	8.58746e+07	2.99678e+07	1.01264e+08
Cont_P35908;Cont_P04264;Cont_Q7Z794;Cont_Q6IFZ6	K22E_HUMAN;K2C1B_HUMAN;K2C1B_MOUSE;K2C1_HUMAN	KRT1;KRT2;KRT77;Krt77	Keratin, type II cytoskeletal 1	5.86414e+08	1.08763e+08	8.77321e+08	6.87034e+08	2.42253e+08	4.27045e+08
Cont_P35908;Cont_P12035;Cont_Q01546	K22E_HUMAN;K22O_HUMAN;K2C3_HUMAN	KRT2;KRT3;KRT76	Keratin, type II cytoskeletal 3	1.57494e+07	8.97673e+06	4.53705e+07	1.14821e+07	5.55316e+06	1.45151e+07
Cont_P35908;Cont_P13647;Cont_O95678;Cont_P02538;Cont_P04259;Cont_P48668	K22E_HUMAN;K2C5_HUMAN;K2C6A_HUMAN;K2C6B_HUMAN;K2C6C_HUMAN;K2C75_HUMAN	KRT2;KRT5;KRT6A;KRT6B;KRT6C;KRT75	Keratin, type II cytoskeletal 75	3.52519e+06		9.04944e+06	379650		5.43684e+06
Cont_P35908;Cont_P13647;Cont_O95678;Cont_P02538;Cont_P04259;Cont_Q8BGZ7;Cont_P48668;Cont_Q922U2;Cont_P12035;Cont_P50446;Cont_Q01546	K22E_HUMAN;K22O_HUMAN;K2C3_HUMAN;K2C5_HUMAN;K2C5_MOUSE;K2C6A_HUMAN;K2C6A_MOUSE;K2C6B_HUMAN;K2C6C_HUMAN;K2C75_HUMAN;K2C75_MOUSE	KRT2;KRT3;KRT5;KRT6A;KRT6B;KRT6C;KRT75;KRT76;Krt5;Krt6a;Krt75	Keratin, type II cytoskeletal 75	1.41545e+07	1.14196e+07	1.39335e+07	2.15756e+07	6.80682e+06	6.11141e+06
Cont_P35908;Cont_P19013;Cont_P02538;Cont_P04259;Cont_P48668;Cont_Q01546	K22E_HUMAN;K22O_HUMAN;K2C4_HUMAN;K2C6A_HUMAN;K2C6B_HUMAN;K2C6C_HUMAN	KRT2;KRT4;KRT6A;KRT6B;KRT6C;KRT76	Keratin, type II cytoskeletal 6A	7.2284e+07	1.62911e+07	1.95177e+08	7.80455e+07	2.32123e+07	9.04185e+07
Cont_P35908;Cont_P19013;Cont_P13647;Cont_Q7Z794;Cont_Q9NSB2;Cont_O95678;Cont_P05787;Cont_P02538;Cont_P04259;Cont_Q8BGZ7;Cont_P48668;Cont_Q922U2;Cont_P12035;Cont_Q86Y46;Cont_Q6IFZ6;Cont_Q6IME9;Cont_P50446;Cont_Q01546	K22E_HUMAN;K22O_HUMAN;K2C1B_HUMAN;K2C1B_MOUSE;K2C3_HUMAN;K2C4_HUMAN;K2C5_HUMAN;K2C5_MOUSE;K2C6A_HUMAN;K2C6A_MOUSE;K2C6B_HUMAN;K2C6C_HUMAN;K2C72_MOUSE;K2C73_HUMAN;K2C75_HUMAN;K2C75_MOUSE;K2C8_HUMAN;KRT84_HUMAN	KRT2;KRT3;KRT4;KRT5;KRT6A;KRT6B;KRT6C;KRT73;KRT75;KRT76;KRT77;KRT8;KRT84;Krt5;Krt6a;Krt72;Krt75;Krt77	Keratin, type II cytoskeletal 75	1.66669e+08	3.7584e+07	4.8408e+08	1.1945e+08	3.27133e+07	2.39407e+08
Cont_P35908;Cont_Q8N1N4;Cont_P13647;Cont_O95678;Cont_P02538;Cont_P04259;Cont_Q8BGZ7;Cont_P48668;Cont_Q922U2;Cont_Q86Y46;Cont_P50446;Cont_Q01546	K22E_HUMAN;K22O_HUMAN;K2C5_HUMAN;K2C5_MOUSE;K2C6A_HUMAN;K2C6A_MOUSE;K2C6B_HUMAN;K2C6C_HUMAN;K2C73_HUMAN;K2C75_HUMAN;K2C75_MOUSE;K2C78_HUMAN	KRT2;KRT5;KRT6A;KRT6B;KRT6C;KRT73;KRT75;KRT76;KRT78;Krt5;Krt6a;Krt75	Keratin, type II cytoskeletal 75	6.85333e+06	5.49101e+06	4.88757e+07	1.67452e+07	4.2978e+06	1.7457e+07
Cont_P42212	GFP_AEQVI	GFP	Green fluorescent protein	6.43856e+07	6.37416e+07	4.04744e+07	6.68205e+07	5.79422e+07	4.23295e+07
Cont_P48668	K2C6C_HUMAN	KRT6C	Keratin, type II cytoskeletal 6C	56351.5		264187	202573	46470.3	92034.4
Cont_P60712	ACTB_BOVIN	ACTB	Actin, cytoplasmic 1	1.96423e+06	1.10143e+06	2.27548e+06	2.57619e+06	1.18886e+06	1.58917e+06
Cont_P60712;A0A068USH6;A0A068TXK9;A0A068UEK0	A0A068TXK9_COFCA;A0A068UEK0_COFCA;A0A068USH6_COFCA;ACTB_BOVIN	ACTB;GSCOC_T00023529001;GSCOC_T00029878001;GSCOC_T00033615001	Actin	2.1266e+06	1.44976e+06	2.13529e+06	2.48513e+06	1.84328e+06	2.20776e+06
Cont_P60712;A0A068UW83;A0A068USH6;A0A068TXK9	A0A068TXK9_COFCA;A0A068USH6_COFCA;A0A068UW83_COFCA;ACTB_BOVIN	ACTB;GSCOC_T00029878001;GSCOC_T00033615001;GSCOC_T00037436001	Actin	3.70757e+06	4.03834e+06	5.36986e+06	5.78884e+06	3.60492e+06	3.72004e+06
Cont_P60712;Cont_P68138	ACTB_BOVIN;ACTS_BOVIN	ACTA1;ACTB	Actin, cytoplasmic 1	3.57802e+06	2.29223e+06	5.60862e+06	2.35702e+06	1.80259e+06	3.79345e+06
Cont_P60712;Cont_P68138;A0A068TXK9	A0A068TXK9_COFCA;ACTB_BOVIN;ACTS_BOVIN	ACTA1;ACTB;GSCOC_T00029878001	Actin	1.40352e+06	252425	1.62499e+06	1.89068e+06	1.37802e+06	1.45742e+06
Cont_P60712;Cont_P68138;A0A068USH6;A0A068UEK0	A0A068UEK0_COFCA;A0A068USH6_COFCA;ACTB_BOVIN;ACTS_BOVIN	ACTA1;ACTB;GSCOC_T00023529001;GSCOC_T00033615001	Actin	700943	631756	1.8157e+06	247148		1.6596e+06
Cont_P60712;Cont_P68138;A0A068UW83;A0A068USH6;A0A068TXK9;A0A068TML6;A0A068UEK0	A0A068TML6_COFCA;A0A068TXK9_COFCA;A0A068UEK0_COFCA;A0A068USH6_COFCA;A0A068UW83_COFCA;ACTB_BOVIN;ACTS_BOVIN	ACTA1;ACTB;GSCOC_T00014855001;GSCOC_T00023529001;GSCOC_T00029878001;GSCOC_T00033615001;GSCOC_T00037436001	Actin	2.82502e+06	1.59373e+06	4.51657e+06	1.08174e+06	885721	3.10217e+06
Cont_P60712;Cont_P68138;A0A068UW83;A0A068USH6;A0A068TXK9;A0A068UEK0	A0A068TXK9_COFCA;A0A068UEK0_COFCA;A0A068USH6_COFCA;A0A068UW83_COFCA;ACTB_BOVIN;ACTS_BOVIN	ACTA1;ACTB;GSCOC_T00023529001;GSCOC_T00029878001;GSCOC_T00033615001;GSCOC_T00037436001	Actin	3.02242e+06	4.02621e+06	5.01385e+06	4.78552e+06	3.23909e+06	2.82687e+06
Cont_P62979	RS27A_HUMAN	RPS27A	Ubiquitin-ribosomal protein eS31 fusion protein				2.33583e+06	1.91322e+06	7.76707e+06
Cont_P62979;A0A068TR04	A0A068TR04_COFCA;RS27A_HUMAN	GSCOC_T00025613001;RPS27A	Ubiquitin-like domain-containing protein	1.679e+06	2.22333e+06	1.8157e+06	2.90312e+06	3.44744e+06	5.64414e+06
Cont_P63103	1433Z_BOVIN	YWHAZ	14-3-3 protein zeta/delta	48112.3		181531			312282
Cont_P63103;A0A068TZ12	1433Z_BOVIN;A0A068TZ12_COFCA	GSCOC_T00036581001;YWHAZ	14-3-3 domain-containing protein	766498	1.04414e+06	1.88797e+06	1.46316e+06	1.47836e+06	986099
Cont_P68103	EF1A1_BOVIN	EEF1A1	Elongation factor 1-alpha 1	3.40978e+06	3.47141e+06	6.81262e+06	9.98467e+06	1.88636e+07	2.86634e+07
Cont_P68103;A0A068TQU4	A0A068TQU4_COFCA;EF1A1_BOVIN	EEF1A1;GSCOC_T00022779001	Tr-type G domain-containing protein	469216	409488	904881	669621	781136	610198
Cont_P68138	ACTS_BOVIN	ACTA1	Actin, alpha skeletal muscle	515808	398280	959245	963217	466598	414914
Cont_P78386	KRT85_HUMAN	KRT85	Keratin, type II cuticular Hb5			299364			
Cont_P78386;Cont_P15241;Cont_P78385;Cont_Q14533	K2M2_SHEEP;KRT81_HUMAN;KRT83_HUMAN;KRT85_HUMAN	KRT81;KRT83;KRT85	Keratin, type II microfibrillar, component 7C			32783			
Cont_P78386;Cont_P78385	KRT83_HUMAN;KRT85_HUMAN	KRT83;KRT85	Keratin, type II cuticular Hb3	51746.4		477253		399012	79410.3
Cont_P78386;Cont_P78385;Cont_Q14533	KRT81_HUMAN;KRT83_HUMAN;KRT85_HUMAN	KRT81;KRT83;KRT85	Keratin, type II cuticular Hb3			674832			
