Protein.Group	Protein.Names	Genes	First.Protein.Description	20260211_008_C41079_S1100213_Beads2_Group_2.mzML	20260211_007_C41079_S1100211_NosH3_Group_1.mzML	20260211_005_C41079_S1100214_Beads3_Group_2.mzML	20260211_004_C41079_S1100210_NosH2_Group_1.mzML	20260211_003_C41079_S1100209_NosH1_Group_1.mzML	20260211_002_C41079_S1100212_Beads1_Group_2.mzML
A0A068TS33	A0A068TS33_COFCA	GSCOC_T00025649001	GHMP kinase C-terminal domain-containing protein	55887.3		9546.43		7800.14	85755.9
A0A068TS96	A0A068TS96_COFCA	GSCOC_T00022196001	CobW C-terminal domain-containing protein	569525	308783	491430	508202	531665	1.03658e+06
A0A068TSG8	A0A068TSG8_COFCA	GSCOC_T00025887001	Acyl carrier protein	158794	1.94437e+06	185293	1.98739e+06	1.81731e+06	163593
A0A068TSH0	A0A068TSH0_COFCA	GSCOC_T00026002001	DUF3700 domain-containing protein	156237					186382
A0A068TSH0;A0A068V9H4	A0A068TSH0_COFCA;A0A068V9H4_COFCA	GSCOC_T00010663001;GSCOC_T00026002001	DUF3700 domain-containing protein	115803	115457	116205	99010	114654	142047
A0A068TSJ9	A0A068TSJ9_COFCA	GSCOC_T00025940001	Pyruvate, phosphate dikinase, chloroplastic	44194.5	83809.1	15982.2			52044.3
A0A068TSL4	A0A068TSL4_COFCA	GSCOC_T00026268001	Fe2OG dioxygenase domain-containing protein	247261	266954	253051	316030	259436	290240
A0A068TSM4	A0A068TSM4_COFCA	GSCOC_T00026061001	Amine oxidase	1.54101e+07	1.01981e+07	1.47032e+07	8.87784e+06	8.2571e+06	1.35675e+07
A0A068TSM4;A0A068TUM3	A0A068TSM4_COFCA;A0A068TUM3_COFCA	GSCOC_T00026061001;GSCOC_T00026062001	Amine oxidase	4.36727e+06	3.02989e+06	3.67531e+06	3.41133e+06	3.02229e+06	4.88514e+06
A0A068TTF5	A0A068TTF5_COFCA	GSCOC_T00022781001	D-cysteine desulfhydrase	342096		339170			345845
A0A068TTH4	A0A068TTH4_COFCA	GSCOC_T00026310001	Malate dehydrogenase	318651	2.3192e+06	315180	1.80014e+06	1.66663e+06	339366
A0A068TTH4;A0A068UM00	A0A068TTH4_COFCA;A0A068UM00_COFCA	GSCOC_T00026310001;GSCOC_T00028876001	Malate dehydrogenase	438632	1.48105e+06	290718	1.55471e+06	1.74143e+06	288254
A0A068TTJ3	A0A068TTJ3_COFCA	GSCOC_T00029211001	AB hydrolase-1 domain-containing protein			54558.3			164585
